block_size,iodepth,bw_kibs,bw_mibs,iops,lat_us,time_to_read_s,source
1M,1,1458127,1424.0,1424.0,701.6,5.75,fio
1M,16,4171361,4073.6,4073.6,3918.6,2.01,fio
1M,32,3120761,3047.6,3047.6,10472.0,2.69,fio
1M,4,3106891,3034.1,3034.1,1317.4,2.70,fio
1M,64,3853288,3763.0,3763.0,16900.7,2.18,fio
1M,8,3751613,3663.7,3663.7,2180.5,2.24,fio
256k,1,716362,699.6,2798.3,357.0,11.71,fio
256k,16,3188372,3113.6,12454.6,1283.4,2.63,fio
256k,32,3802632,3713.5,14854.0,2151.6,2.21,fio
256k,4,2181692,2130.6,8522.2,468.9,3.85,fio
256k,64,3165512,3091.3,12365.3,5164.2,2.65,fio
256k,8,3499627,3417.6,13670.4,584.6,2.40,fio
4M,1,2130710,2080.8,520.2,1921.1,3.94,fio
4M,16,3775251,3686.8,921.7,17258.5,2.22,fio
4M,32,3211565,3136.3,784.1,40431.7,2.61,fio
4M,4,3705215,3618.4,904.6,4413.4,2.26,fio
4M,64,3746586,3658.8,914.7,68435.9,2.24,fio
4M,8,3157172,3083.2,770.8,10350.9,2.66,fio
4k,1,145645,142.2,36411.4,27.3,57.60,fio
4k,16,255392,249.4,63848.0,250.4,32.85,fio
4k,32,366027,357.4,91506.8,349.5,22.92,fio
4k,4,322638,315.1,80659.7,49.4,26.00,fio
4k,64,544184,531.4,136046.2,470.2,15.42,fio
4k,8,381821,372.9,95455.3,83.6,21.97,fio
64k,1,511282,499.3,7988.8,125.0,16.41,fio
64k,16,2682637,2619.8,41916.2,381.2,3.13,fio
64k,32,3731587,3644.1,58306.0,548.0,2.25,fio
64k,4,903069,881.9,14110.5,283.2,9.29,fio
64k,64,3125412,3052.2,48834.6,1309.1,2.68,fio
64k,8,1568843,1532.1,24513.2,326.0,5.35,fio
1M,1,1668973.3935673188,1629.9,0.0,0.0,5.03,go
1M,16,2749771.163702112,2685.3,0.0,0.0,3.05,go
1M,32,3596885.1995222447,3512.6,0.0,0.0,2.33,go
1M,4,2291489.6004284476,2237.8,0.0,0.0,3.66,go
1M,64,3086430.125564987,3014.1,0.0,0.0,2.72,go
1M,8,3102584.108016654,3029.9,0.0,0.0,2.70,go
256k,1,684161.9588617743,668.1,0.0,0.0,12.26,go
256k,16,2655071.2792825806,2592.8,0.0,0.0,3.16,go
256k,32,2468093.2217368754,2410.2,0.0,0.0,3.40,go
256k,4,1573708.860453612,1536.8,0.0,0.0,5.33,go
256k,64,3385592.8386518178,3306.2,0.0,0.0,2.48,go
256k,8,1934489.2877199778,1889.1,0.0,0.0,4.34,go
4M,1,2583962.886240642,2523.4,0.0,0.0,3.25,go
4M,16,3120532.3389925943,3047.4,0.0,0.0,2.69,go
4M,32,3931869.8802229865,3839.7,0.0,0.0,2.13,go
4M,4,2958802.3718212093,2889.5,0.0,0.0,2.84,go
4M,64,3250991.584235413,3174.8,0.0,0.0,2.58,go
4M,8,3735514.8398571494,3648.0,0.0,0.0,2.25,go
4k,1,118872.61259605551,116.1,0.0,0.0,70.57,go
4k,16,132432.0945603739,129.3,0.0,0.0,63.34,go
4k,32,175040.7411725403,170.9,0.0,0.0,47.92,go
4k,4,72909.80470352402,71.2,0.0,0.0,115.05,go
4k,64,180925.09912995266,176.7,0.0,0.0,46.37,go
4k,8,97103.75178884997,94.8,0.0,0.0,86.39,go
64k,1,511472.67981496046,499.5,0.0,0.0,16.40,go
64k,16,1613239.8663029398,1575.4,0.0,0.0,5.20,go
64k,32,1885194.3236481338,1841.0,0.0,0.0,4.45,go
64k,4,412157.5540452851,402.5,0.0,0.0,20.35,go
64k,64,2679596.5757133057,2616.8,0.0,0.0,3.13,go
64k,8,633693.8456280181,618.8,0.0,0.0,13.24,go
